PROVINCIA,DISPOSITIVO,DESC_ESTADO_TRX,DESC_GRUPO_TIPO_TRX,DESC_MARCA,DESC_TIPO_DISPOSITIVO,DESC_TIPO_INSTITUCION,DESC_TIPO_UBICACION,INSTITUCION_ADQUIRENTE,INSTITUCION_AUTORIZADORA,NRO_TRANSACCIONES,TIPO,VALOR_TRANSACCION
GUAYAS,2063533-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,2,INTERBANCARIAS,200
PICHINCHA,25222643-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO PICHINCHA,2,INTERBANCARIAS,51
AZUAY,2062108-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,100
LOS RﾍOS,2061608-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,30
LOS RﾍOS,2061318-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,2,INTERBANCARIAS,160
GUAYAS,2063530-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,440
EL ORO,2240462-COOP. JEP,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,1,INTERBANCARIAS,300.5
PICHINCHA,2061130-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,GRG,CAJERO AUTOMATICO DEPOSITARIO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,300
SANTA ELENA,23416682-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO GUAYAQUIL,BANCO DE MACHALA,2,INTERBANCARIAS,201
PICHINCHA,2061570-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,250
GUAYAS,23407203-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
GUAYAS,23404355-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO PICHINCHA,1,INTERBANCARIAS,10.5
GUAYAS,2240787-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,1,INTERBANCARIAS,50.5
LOS RﾍOS,2063068-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,80,Propias,10770
GUAYAS,2240787-COOP. JEP,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,1,INTERBANCARIAS,0
PICHINCHA,2062428-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,100
GUAYAS,2182543-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,50.5
PICHINCHA,23404847-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO PICHINCHA,3,INTERBANCARIAS,51.5
EL ORO,25223123-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,8,INTERBANCARIAS,704
EL ORO,2063589-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,3,Propias,850
AZUAY,2240242-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,1,INTERBANCARIAS,10.5
SANTO DOMINGO DE LOS TSﾃ，HILAS,2240438-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO PICHINCHA,1,INTERBANCARIAS,100.5
EL ORO,25223126-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,1,INTERBANCARIAS,10.5
GUAYAS,2182103-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO PRODUBANCO,1,INTERBANCARIAS,50.5
PICHINCHA,23412785-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,0
PICHINCHA,2062686-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,100
GUAYAS,2181400-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
MANABﾍ,2181950-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO PRODUBANCO,1,INTERBANCARIAS,100.5
GUAYAS,2060712-BANCO PICHINCHA,NO PROCESADA,CONSULTAS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,0
GUAYAS,2061632-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,20
EL ORO,2240462-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,3,INTERBANCARIAS,71.5
LOJA,2291141-COOP. MEGO,PROCESADA AUTORIZADA,RETIROS,NCR,NO REGISTRADO,COOPERATIVA,ISLA,COOP. MEGO,BANCO DEL PACIFICO,1,INTERBANCARIAS,100.5
EL ORO,23413780-BANCO GUAYAQUIL,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,10.5
GUAYAS,2063530-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,160
GUAYAS,2181400-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,20.5
PICHINCHA,2061522-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,70
MANABﾍ,2182403-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,2,INTERBANCARIAS,201
GUAYAS,2550015-COOP. POLICIA NACIONAL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. POLICIA NACIONAL,BANCO DEL PACIFICO,1,INTERBANCARIAS,20.5
EL ORO,2240462-COOP. JEP,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
GUAYAS,23418489-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO PROCREDIT,1,INTERBANCARIAS,100.5
GUAYAS,2181400-BANCO DEL PACIFICO,PROCESADA NO AUTORIZ,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
MANABﾍ,2240522-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO PICHINCHA,1,INTERBANCARIAS,65.5
EL ORO,25223126-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,1,INTERBANCARIAS,35.5
EL ORO,2160047-BANCO DE MACHALA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO DE MACHALA,BANCO PICHINCHA,1,INTERBANCARIAS,40.5
GUAYAS,2062829-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,100
MANABﾍ,2063302-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,100
AZUAY,2240205-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,1,INTERBANCARIAS,50.5
LOS RﾍOS,2061773-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,4,Propias,410
GUAYAS,2182541-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,2,INTERBANCARIAS,151
PICHINCHA,2063658-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,500
GUAYAS,23402089-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,30.5
GUAYAS,2062142-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,500
GUAYAS,2182358-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,3,INTERBANCARIAS,251.5
GUAYAS,2200154-BANCO INTERNACIONAL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO INTERNACIONAL,BANCO BOLIVARIANO,1,INTERBANCARIAS,30.5
EL ORO,25220584-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,RETIROS,NCR     ,NO REGISTRADO,AUXILIAR DE PAGOS,ISLA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,1,INTERBANCARIAS,50.5
PICHINCHA,2063422-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,300
GUAYAS,2181589-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,CONSULTAS,HYOSUNG,NO REGISTRADO,BANCOS,AGENCIA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,0
LOS RﾍOS,2063068-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,140
GUAYAS,2181485-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,50.5
SANTO DOMINGO DE LOS TSﾃ，HILAS,2063220-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,500
SANTO DOMINGO DE LOS TSﾃ，HILAS,2062758-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO PICHINCHA,BANCO DE MACHALA,3,INTERBANCARIAS,260
PICHINCHA,2063330-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,350
MANABﾍ,2320363-BANCO PRODUBANCO,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO PRODUBANCO,BANCO DE MACHALA,2,INTERBANCARIAS,201
GUAYAS,2062649-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PROCREDIT,1,INTERBANCARIAS,50
GUAYAS,23402089-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,40.5
PICHINCHA,2062569-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,20
GUAYAS,2182543-BANCO DEL PACIFICO,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,90.5
PICHINCHA,2062696-BANCO PICHINCHA,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO PICHINCHA,BANCO BOLIVARIANO,1,INTERBANCARIAS,100
EL ORO,25223126-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,2,INTERBANCARIAS,0
MANABﾍ,2063430-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,100
GUAYAS,2182057-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,50.5
PICHINCHA,23410242-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO PICHINCHA,1,INTERBANCARIAS,20.5
ESMERALDAS,2182319-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,CONSULTAS,HYOSUNG,NO REGISTRADO,BANCOS,AGENCIA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,0
COTOPAXI,2063200-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,3,Propias,1050
GUAYAS,2181433-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
PICHINCHA,2063318-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,3,Propias,420
EL ORO,2240217-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,1,INTERBANCARIAS,60.5
GUAYAS,2062652-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO PICHINCHA,BANCO BOLIVARIANO,1,INTERBANCARIAS,100
PICHINCHA,23408046-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,0
LOS RﾍOS,2061608-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,270
GUAYAS,23418485-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,0
PICHINCHA,2062349-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,100
PICHINCHA,25220101-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,RETIROS,NCR     ,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,1,INTERBANCARIAS,80.5
LOJA,2170124-BANCO DEL AUSTRO,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO DEL AUSTRO,BANCO PICHINCHA,1,INTERBANCARIAS,20.5
SUCUMBﾍOS,23404056-BANCO GUAYAQUIL,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
LOS RﾍOS,2063453-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,500
EL ORO,2182279-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,CONSULTAS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,0
IMBABURA,2062295-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,110
EL ORO,2182279-BANCO DEL PACIFICO,PROCESADA NO AUTORIZ,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
PICHINCHA,2063397-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO BOLIVARIANO,1,INTERBANCARIAS,70
PICHINCHA,2061864-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,10
MANABﾍ,2063284-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,550
MANABﾍ,2240542-COOP. JEP,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,1,INTERBANCARIAS,0
PICHINCHA,2062936-BANCO PICHINCHA,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,50
GUAYAS,2182143-BANCO DEL PACIFICO,NO PROCESADA,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
SANTO DOMINGO DE LOS TSﾃ，HILAS,2063220-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,6,Propias,1370
GUAYAS,23418485-BANCO GUAYAQUIL,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
MANABﾍ,2063284-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,11,Propias,3440
GUAYAS,2330203-BANCO BOLIVARIANO,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO BOLIVARIANO,BANCO DE MACHALA,1,INTERBANCARIAS,0
PICHINCHA,2061603-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,22,Propias,2430
GUAYAS,2182143-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,HYOSUNG,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,5,INTERBANCARIAS,422.5
PICHINCHA,2061603-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,7,Propias,1190
EL ORO,25223126-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,5,INTERBANCARIAS,302.5
AZUAY,2240932-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO PICHINCHA,1,INTERBANCARIAS,80.5
GUAYAS,23418485-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,5,INTERBANCARIAS,412.5
SANTO DOMINGO DE LOS TSﾃ，HILAS,2063104-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,3,Propias,260
MANABﾍ,2240542-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO DE MACHALA,1,INTERBANCARIAS,50.5
MANABﾍ,2063715-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,10
GUAYAS,2060712-BANCO PICHINCHA,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,0
EL ORO,2061048-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,GRG,CAJERO AUTOMATICO DEPOSITARIO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,200
EL ORO,25223126-RED TRANSACCIONAL COONECTA,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,2,INTERBANCARIAS,131
PICHINCHA,2061501-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,40
GUAYAS,2180586-BANCO DEL PACIFICO,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO DEL PACIFICO,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
LOS RﾍOS,2063068-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DEL PACIFICO,1,INTERBANCARIAS,100
PICHINCHA,23407451-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
MANABﾍ,2062458-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO PICHINCHA,BANCO BOLIVARIANO,1,INTERBANCARIAS,40
CHIMBORAZO,23403482-BANCO GUAYAQUIL,PROCESADA NO AUTORIZ,CONSULTAS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,0
GUAYAS,2240864-COOP. JEP,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,COOPERATIVA,ISLA,COOP. JEP,BANCO PICHINCHA,1,INTERBANCARIAS,100.5
